article_link,title,author,date
https://timesofindia.indiatimes.com/life-style/events/ramadan-mubarak-2025-top-50-ramzan-wishes-messages-images-quotes-and-greetings-to-share-with-your-loved-ones/articleshow/118603193.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/world/us/from-great-guy-to-disrespectful-how-trump-zelenskyy-talks-went-up-in-flames/articleshow/118641354.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/city/hyderabad/revanth-joins-south-chorus-says-delimitation-a-conspiracy-against-southern-states/articleshow/118636657.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/toi-plus/society-culture/the-family-office-is-the-hottest-career-choice-its-risk-free-stress-free-and-tan-friendly/articleshow/118627098.cms,Why India's billionaire heirs like to 'brunch' more than 'build' businesses?,N/A,N/A
https://timesofindia.indiatimes.com/city/rajkot/drishyam-style-plot-unravelled-skeletal-remains-lead-cops-to-killer/articleshow/118634453.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/world/us/what-if-bomb-drops-on-your-head-donald-trump-on-possibility-of-russia-violating-ceasefire/articleshow/118642354.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/indias-batters-couldve-scored-heavily-in-pakistan-robin-uthappa/articleshow/118642850.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/toi-plus/infrastructure/south-mumbai-gets-on-the-metro-map-this-march/articleshow/118620874.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/technology/tech-news/zerodha-founder-nithin-kamath-says-as-sensex-falls-1400-points-ive-no-idea-where-the-markets-go-from-here-but-i-can-tell-you-/articleshow/118625953.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/city/bareilly/paedophile-out-on-bail-for-minors-abuse-rapes-9-yr-old-held/articleshow/118635761.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/spotlight/applied-systems-india-expands-with-a-new-hub-for-innovation-and-collaboration-in-bangalore/articleshow/118547259.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/spotlight/set-foot-into-the-world-of-ai-and-deepen-your-expertise-with-this-program-by-mit-xpro/articleshow/118570843.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/world/us/elon-musk-welcomes-14th-child-seldon-lycurgus-his-fourth-with-shivon-zilis/articleshow/118642429.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/milestone-awaits-virat-kohli-in-match-against-new-zealand-in-champions-trophy/articleshow/118641997.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/technology/tech-news/bitcoin-crashing-us-dollar-will-crash-and-problem-is-robert-kiyosaki-may-have-just-agreed-with-elon-musks-bankruptcy-warning-for-the-us-and-more/articleshow/118616537.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/astrology/horoscope/march-2025-pisces-predictions-love-career-and-finance-predictions/articleshow/118627232.cms,N/A,N/A,N/A
https://timesofindia.indiatimes.com/world/us/vivek-ramaswamy-called-anti-american-for-giving-barefoot-interview-in-own-home/articleshow/118641158.cms,N/A,N/A,N/A
